Round_Centre_Code	FSU_Serial_No	Round	Sch_No	Sample	Sector	State_Region	District	Stratum	Sub_Stratum_No	Filler_1	Sub_Round	Sub_Sample	FOD_Sub_Region	Hamlet_Group_Sub_Block_No	Second_Stage_Stratum_No	Sample_Hhld_No	Level	Filler_2	Person_Serial_No	Relation_to_Head	Sex	Age	Marital_Status	General_Education	Technical_Education	Status_of_Current_Attendance	Type_of_Educationa_Institution	Registered_with_Emp_Exchange	Vocational_Training	Field_of_Training	MGNREG_jobcard	MGNREG_work	Spl_characters_for_OK_stamp	Blank	NSS	NSC	MLT	NSS_SR	NSC_SR	MLT_SR	State	District_Code	HHID	Multiplier_comb
2	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	1	3	0	1	    Self	Male	42	Currently married	Literate:  middle	No technical education	 	 	not registered	Did not receive any vocational training	 	Yes	Worked	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581201	324.08
3	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	1	3	0	2	Spouse of head	Female	38	Currently married	Literate:  primary	No technical education	 	 	not registered	Did not receive any vocational training	 	No	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581201	324.08
4	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	1	3	0	3	Unmarried child	Male	asd	Never married	Literate:  middle	No technical education	Currently attending in: Secondary	Government	 	 	 	 	 	 	hehe	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581201	324.08
5	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	1	3	0	4	Unmarried child	Male	12	Never married	Literate:  primary	No technical education	Currently attending in: Middle	Government	 	 	 	 	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581201	324.08
6	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	1	3	0	5	Unmarried child	   Female	9	Never married	Literate:  below primary	No technical education	"Currently attending in: Pre-primary (nursery/ Kinder garten,"	Government	 	 	 	 	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581201	324.08
2	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	2	3	0	1	Self	Male	36	Currently married	Literate:  primary	No technical education	 	 	not registered	Did not receive any vocational training	 	Yes	Worked	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581202	324.08
3	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	2	3	0	2	Spouse of head	Female	22	Currently married	Literate:  primary	No technical education	Ever attended but currently not attending: To supplement hou	 	not registered	Did not receive any vocational training	 	No	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581202	324.08
2	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	3	3	0	1	Self	Male	28	Currently married	Literate:  middle	No technical education	Ever attended but currently not attending: To supplement hou	 	not registered	Did not receive any vocational training	 	Yes	Worked	 	 	2	4	64816	1	1	129632	KARNATAKA	Bangalore	715581203	324.08
3	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	3	3	0	2	Spouse of head	Female	27	Currently married	Literate:  primary	No technical education	Ever attended but currently not attending: To attend domesti	 	not registered	Did not receive any vocational training	 	No	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Bangalore	715581203	324.08
2	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	4	3	0	1	Self	Male	30	Widowed	Literate:  primary	No technical education	 	 	not registered	Did not receive any vocational training	 	Yes	Worked	 	 	2	4	64816	1	1	129632	KARNATAKA	Bangalore		324.08
