Round_Centre_Code	FSU_Serial_No	Round	Sch_No	Sample	Sector	State_Region	District	Stratum	Sub_Stratum_No	Filler_1	Sub_Round	Sub_Sample	FOD_Sub_Region	Hamlet_Group_Sub_Block_No	Second_Stage_Stratum_No	Sample_Hhld_No	Level	Filler_2	Item_Group_Srl_No	Value_of_Consumption_Last_30_Day	Value_Consumption_Last_365_Days	Spl_characters_for_OK_stamp	Blank	NSS	NSC	MLT	NSS_SR	NSC_SR	MLT_SR	State	District_Code	HHID	Multiplier_comb
22	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	1	9	0	"Cereals & cereal products (includes  muri, chira, maida, suj"	800	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581201	324.08
23	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	1	9	0	"Pulses & pulse products (includes soyabean, gram products, b"	120	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581201	324.08
24	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	1	9	0	Milk	300	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581201	324.08
25	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	1	9	0	Edible oil and vanaspati	90	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581201	324.08
26	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	1	9	0	"Vegetables (including garlic, ginger)"	470	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581201	324.08
27	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	1	9	0	"Fruits & nuts (includes mango, banana, coconut, dates, kishm"	115	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581201	324.08
28	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	1	9	0	"Egg, fish & meat"	814	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581201	324.08
29	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	1	9	0	"Sugar (includes gur, candy (misri), honey, etc.)"	127	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581201	324.08
30	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	1	9	0	"Salt & spices (includes dry chillies, curry powder, oilseeds"	105	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581201	324.08
31	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	1	9	0	"Other food items (includes beverages such as tea, coffee, fr"	460	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581201	324.08
32	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	1	9	0	"Pan, tobacco & intoxicants"	630	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581201	324.08
33	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	1	9	0	Fuel & light	422	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581201	324.08
34	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	1	9	0	"Entertainment (includes cinema,  picnic, sports, club fees,"	50	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581201	324.08
35	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	1	9	0	"Personal care and effects (includes spectacles, torch, umbre"	100	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581201	324.08
36	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	1	9	0	"Toilet articles (includes toothpaste, hair oil, shaving blad"	212	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581201	324.08
37	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	1	9	0	"Sundry articles (includes electric bulb, tubelight,  glasswa"	155	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581201	324.08
38	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	1	9	0	Consumer services excluding conveyance (includes domestic se	140	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581201	324.08
39	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	1	9	0	"Conveyance (includes porter charges, diesel, petrol, school"	80	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581201	324.08
40	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	1	9	0	Medical expenses (non-institutional)	40	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581201	324.08
41	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	1	9	0	 Sub-total (items 1 to 22)	5230	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581201	324.08
42	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	1	9	0	Medical (institutional)	 	190	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581201	324.08
43	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	1	9	0	"Tuition fees & other fees (includes private tutor, school/co"	 	220	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581201	324.08
44	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	1	9	0	School books & other educational articles (includes newspape	 	1060	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581201	324.08
45	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	1	9	0	Clothing and bedding	 	4545	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581201	324.08
46	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	1	9	0	Footwear	 	960	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581201	324.08
47	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	1	9	0	"Crockery & utensils (includes stainless steel utensils, cass"	 	450	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581201	324.08
48	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	1	9	0	"Personal transport equipment (includes bicycle, scooter, car"	 	80	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581201	324.08
49	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	1	9	0	"Repair and maintenance (of residential buildings, bathroom e"	 	1540	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581201	324.08
50	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	1	9	0	Sub-total (items 24  to 37)	 	9045	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581201	324.08
51	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	1	9	0	Average monthly expenditure for items 24 to 37  [item 38 x (	743	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581201	324.08
52	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	1	9	0	Monthly household consumer expenditure (item 23 +  item 39)	5973	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581201	324.08
14	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	2	9	0	"Cereals & cereal products (includes  muri, chira, maida, suj"	315	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581202	324.08
15	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	2	9	0	"Pulses & pulse products (includes soyabean, gram products, b"	60	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581202	324.08
16	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	2	9	0	Milk	150	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581202	324.08
17	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	2	9	0	"Milk products (includes milk condensed/powder, baby food, gh"	62	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581202	324.08
