Round_Centre_Code	FSU_Serial_No	Round	Sch_No	Sample	Sector	State_Region	District	Stratum	Sub_Stratum_No	Filler_1	Sub_Round	Sub_Sample	FOD_Sub_Region	Hamlet_Group_Sub_Block_No	Second_Stage_Stratum_No	Sample_Hhld_No	Level	Filler_2	Item_Group_Srl_No	Value_of_Consumption_Last_30_Day	Value_Consumption_Last_365_Days	Spl_characters_for_OK_stamp	Blank	NSS	NSC	MLT	NSS_SR	NSC_SR	MLT_SR	State	District_Code	HHID	Multiplier_comb
022	71558	68	100	Central	Rural	171	01	01	01	0	1	1	1711	1	2	01	09	000	Cereals & cereal products (includes  muri, chira, maida, suj	800	 	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581201	324.08
023	71558	68	100	Central	Rural	171	01	01	01	0	1	1	1711	1	2	01	09	000	Pulses & pulse products (includes soyabean, gram products, b	120	 	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581201	324.08
024	71558	68	100	Central	Rural	171	01	01	01	0	1	1	1711	1	2	01	09	000	Milk	300	 	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581201	324.08
025	71558	68	100	Central	Rural	171	01	01	01	0	1	1	1711	1	2	01	09	000	Edible oil and vanaspati	90	 	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581201	324.08
026	71558	68	100	Central	Rural	171	01	01	01	0	1	1	1711	1	2	01	09	000	Vegetables (including garlic, ginger)	470	 	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581201	324.08
027	71558	68	100	Central	Rural	171	01	01	01	0	1	1	1711	1	2	01	09	000	Fruits & nuts (includes mango, banana, coconut, dates, kishm	115	 	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581201	324.08
028	71558	68	100	Central	Rural	171	01	01	01	0	1	1	1711	1	2	01	09	000	Egg, fish & meat	814	 	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581201	324.08
029	71558	68	100	Central	Rural	171	01	01	01	0	1	1	1711	1	2	01	09	000	Sugar (includes gur, candy (misri), honey, etc.)	127	 	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581201	324.08
030	71558	68	100	Central	Rural	171	01	01	01	0	1	1	1711	1	2	01	09	000	Salt & spices (includes dry chillies, curry powder, oilseeds	105	 	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581201	324.08
031	71558	68	100	Central	Rural	171	01	01	01	0	1	1	1711	1	2	01	09	000	Other food items (includes beverages such as tea, coffee, fr	460	 	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581201	324.08
032	71558	68	100	Central	Rural	171	01	01	01	0	1	1	1711	1	2	01	09	000	Pan, tobacco & intoxicants	630	 	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581201	324.08
033	71558	68	100	Central	Rural	171	01	01	01	0	1	1	1711	1	2	01	09	000	Fuel & light	422	 	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581201	324.08
034	71558	68	100	Central	Rural	171	01	01	01	0	1	1	1711	1	2	01	09	000	Entertainment (includes cinema,  picnic, sports, club fees,	50	 	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581201	324.08
035	71558	68	100	Central	Rural	171	01	01	01	0	1	1	1711	1	2	01	09	000	Personal care and effects (includes spectacles, torch, umbre	100	 	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581201	324.08
036	71558	68	100	Central	Rural	171	01	01	01	0	1	1	1711	1	2	01	09	000	Toilet articles (includes toothpaste, hair oil, shaving blad	212	 	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581201	324.08
037	71558	68	100	Central	Rural	171	01	01	01	0	1	1	1711	1	2	01	09	000	Sundry articles (includes electric bulb, tubelight,  glasswa	155	 	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581201	324.08
038	71558	68	100	Central	Rural	171	01	01	01	0	1	1	1711	1	2	01	09	000	Consumer services excluding conveyance (includes domestic se	140	 	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581201	324.08
